Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_9,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,BB_Position,ROC_10,ATR,OBV,Volume_MA_20,Daily_Return,Daily_Range,Daily_Range_Pct,Distance_SMA_20,Distance_SMA_50,Volume_Ratio,Volatility,SMA_Cross
2021-07-29,225.7833404541016,227.89666748046875,216.26666259765625,216.5966644287109,91183800,219.24383392333985,211.76206787109376,215.7711333465576,218.55278108133277,217.49087282292476,218.69222581194532,1.0619082584080104,1.255398226509922,-0.19348996810191155,56.246942377215014,219.24383392333985,4.392029129056411,228.02789218145267,210.45977566522703,17.568116516225643,0.8722372016785039,4.111591608951355,7.953808375767305,1499392500,62819010.0,4.694118807423009,11.6300048828125,5.150957931361065,2.9827550511857615,6.621238980128877,1.4515319486887808,2.1169248721342786,-4.009065475463842
2021-07-30,229.0666656494141,232.50999450683597,223.0,223.9199981689453,88969200,219.39850082397462,212.58700103759764,216.17205001831056,220.1703017841145,218.34833895822027,220.76711377943911,1.8219628258942464,1.368711146386787,0.4532516795074595,50.51946273146592,219.39850082397462,4.686104756654425,228.77071033728348,210.02629131066575,18.74441902661772,1.015788982934619,6.671630711449369,7.9119033813476625,1588361700,64472295.0,1.4541928508582602,9.509994506835966,4.1516274224687875,4.406668591229952,7.751962505412968,1.3799601828971653,2.1402412558320956,-3.5850489807129122
2021-08-02,236.55667114257807,242.31333923339844,232.8000030517578,233.3333282470703,100847400,219.9113342285156,213.40626770019531,216.58600006103515,222.6912816854166,219.69710430520973,223.92502525206692,2.994177380206878,1.6938043931508053,1.3003729870560727,63.73840338321365,219.9113342285156,5.888186619621441,231.6877074677585,208.13496098927274,23.552746478485744,1.2067259408267794,9.818642079194323,8.215713500976564,1689209100,65456490.0,3.2697928666004294,9.513336181640625,4.021588626391653,7.569112784685236,10.848042886399988,1.5406783956793284,2.255455977814801,-3.179732360839836
2021-08-03,236.5800018310547,240.88333129882807,233.6699981689453,239.6666717529297,64860900,220.7473342895508,214.26533447265626,217.0207667541504,224.82800786166862,220.94768930712416,226.4560205678645,3.880318554544459,2.1311072254295365,1.7492113291149227,70.93611338122508,220.7473342895508,6.968379763900627,234.68409381735205,206.81057476174954,27.873519055602515,1.0680182509399208,7.454956714131549,8.117379324776783,1754070000,65206860.0,0.009862621233192037,7.213333129882756,3.0490037509738057,7.172302937410077,10.414501913395673,0.9946944232554673,2.136703239934459,-2.755432281494137
2021-08-04,236.97332763671875,241.63333129882807,236.30999755859372,237.0,51007800,221.85183410644532,214.96186767578126,217.47285003662108,226.69651859629172,222.13477362783487,228.55948198163537,4.56174496845685,2.6172347740349995,1.9445101944218504,72.67669341659817,221.85183410644532,7.702036457503633,237.2559070214526,206.44776119143805,30.808145830014553,0.9908277704769058,8.48937214792734,7.824760437011714,1805077800,64938450.0,0.1662548831768751,5.323333740234347,2.2463851916680864,6.816032687391747,10.239704464299,0.785479172970713,2.045081230417252,-2.5109823608398187
2021-08-05,238.2100067138672,240.3166656494141,237.1366729736328,238.6666717529297,38758800,222.8821678161621,215.69480102539063,217.94585006713868,228.46782446053413,223.32553163420764,230.48958692808174,5.142292826326496,3.122246384493299,2.0200464418331974,77.01220398847666,222.8821678161621,8.446158393376889,239.7744846029159,205.98985102940833,33.78463357350756,0.9536926192896318,10.068389580112557,7.718332563127788,1843836600,63460395.0,0.5218642492307302,3.1799926757812784,1.3349534386273783,6.877104188230887,10.438455438629774,0.6107557319805526,2.0373634988478933,-2.251049041748047
2021-08-06,233.0333404541016,238.77667236328125,232.5433349609375,237.3000030517578,46869000,223.58466796875,216.2279345703125,218.40778343200682,229.1702115364676,224.0446285838294,230.9983376332857,5.1255829526382115,3.5229136981222817,1.6026692545159298,68.37898983984957,223.58466796875,8.685709796029522,240.95608756080907,206.21324837669096,34.74283918411811,0.7719602861262652,8.660511591335988,7.546665736607141,1796967600,63082770.0,-2.1731523084098203,6.23333740234375,2.6748693513971546,4.22599303037729,7.772078994873971,0.7429762516769635,2.120670629393862,-2.1798488616943246
2021-08-09,237.9199981689453,239.6766662597656,235.0433349609375,236.72332763671875,44145900,224.05233459472657,216.78066772460937,218.8929833984375,230.5163325568488,225.07243373828243,232.38266974041764,5.4438988185663675,3.9071107222110992,1.5367880963552683,68.46228304299946,224.05233459472657,9.204394511529072,242.46112361778472,205.64354557166843,36.817578046116296,0.876658767636715,8.536844957040019,7.4999989100864894,1841113500,61401015.0,2.096977928274679,4.633331298828097,1.9474324707828894,6.189475150662026,9.75148322321371,0.7189767139842884,1.9459702251807995,-2.1123156738281352
2021-08-10,236.663330078125,238.8633270263672,233.9600067138672,237.9966735839844,40296900,224.74316787719727,217.34580108642578,219.3666500854492,231.462024483199,225.93101865234485,233.2388018079591,5.531005830854156,4.2318897439397105,1.2991160869144451,69.15267516201251,224.74316787719727,9.618335675603497,243.97983922840427,205.50649652599026,38.473342702414016,0.8098291274851925,10.113525788413776,7.503331865583143,1800816600,60270945.0,-0.5281893495678203,4.9033203125,2.0718546937040747,5.303904146906515,8.887923711955107,0.668595788567775,1.8482918625522076,-2.0208489990234284
2021-08-11,235.94000244140625,238.3933258056641,234.73666381835935,237.57000732421875,29401800,225.6505012512207,217.90526794433595,219.84530006408693,232.15094416907704,226.672424858942,233.77904193464855,5.478519310135027,4.481215657178774,0.9973036529562531,71.07386063932097,225.6505012512207,9.78274283964303,245.21598693050677,206.08501557193463,39.13097135857214,0.7629503135993965,9.403690269370065,7.346189226422991,1771414800,58494855.0,-0.3056357047287239,3.6566619873047443,1.5498270532623422,4.559928355191227,8.276410509578543,0.5026390782573955,1.7535121176952515,-1.940032119750981
