Metric,Training,Test
MAE,15.658958090624937,63.21348249201135
RMSE,19.855826337180986,70.80742450357465
R²,0.8920164653300601,-0.5755538585566091
MAPE,6.778899036834209,18.789743650983315
Accuracy,93.2211009631658,81.21025634901669
